200
0,26,10,51,64,75,52,29,82,70,40,25,1,62,24,24,60,41,59,69,20,83,82,98,51,67,14,73,49,47,41,61,63,64,54,27,51,91,88,85,46,63,94,70,92,53,64,47,41,55,32,73,88,100,21,2,20,39,82,14,94,45,84,62,65,37,79,87,46,59,91,87,43,12,24,53,97,27,27,36,12,36,72,82,30,19,7,0,50,67,59,98,75,16,57,4,54,76,34,50,99,1,36,76,52,32,37,11,70,83,73,17,38,4,35,53,30,98,69,21,100,53,59,86,30,24,94,32,98,63,97,9,41,60,41,73,17,19,60,11,81,45,17,8,51,55,67,59,97,82,69,40,90,38,28,87,41,7,65,43,3,28,79,50,42,0,80,81,27,91,44,72,78,67,62,5,59,9,36,83,32,83,66,35,79,62,28,18,87,65,79,44,48,11,80,5,24,49,73,18
74,0,64,90,28,85,58,36,63,56,0,98,9,46,30,31,79,40,15,52,43,83,61,67,66,25,4,39,12,74,63,52,81,2,35,31,90,74,6,52,50,72,3,54,11,47,41,49,3,63,86,80,49,25,70,90,95,82,85,15,27,63,33,42,68,36,59,75,96,38,7,41,86,4,43,98,43,56,96,26,44,3,60,6,71,84,10,11,95,58,34,86,39,36,22,86,67,96,46,52,76,15,91,16,67,82,22,10,35,51,76,30,39,93,61,2,100,64,79,29,19,30,15,76,86,88,68,40,62,34,2,92,11,15,58,29,60,58,19,42,66,47,44,65,26,36,16,47,52,17,80,35,28,44,42,26,84,14,50,77,79,61,66,79,86,100,39,7,5,41,72,65,86,63,41,93,86,19,55,68,97,93,94,34,41,77,41,66,44,17,60,6,92,97,74,15,96,78,69,68
90,36,0,1,92,80,88,77,53,30,7,67,84,72,24,67,74,34,57,32,7,73,64,16,50,48,40,80,83,14,93,24,4,51,15,14,48,68,19,63,23,54,97,57,28,58,41,2,26,58,85,50,32,56,12,21,45,13,42,35,3,41,100,57,20,24,46,91,19,95,39,88,68,63,55,37,23,75,70,47,1,42,28,29,87,67,39,92,31,89,95,3,60,18,28,48,60,44,74,1,9,99,47,58,78,64,94,100,24,84,18,50,76,65,96,60,48,91,76,38,2,72,42,27,7,79,91,56,44,51,15,77,46,43,56,19,75,80,98,16,90,72,58,51,59,38,74,38,76,60,40,2,13,40,44,73,30,75,14,50,47,96,4,79,15,79,48,61,31,56,75,10,55,86,59,79,14,30,47,67,6,70,65,10,67,74,81,29,96,6,1,96,53,57,74,21,67,98,47,100
49,10,99,0,87,38,46,32,75,75,88,86,47,7,3,38,51,13,45,15,92,12,76,44,0,98,91,31,44,85,99,68,14,95,54,57,15,46,96,31,42,71,44,15,43,78,70,74,71,13,15,63,82,75,22,78,88,80,4,66,84,79,7,61,49,41,53,54,94,64,35,18,50,23,68,21,33,40,70,2,90,37,87,22,42,77,2,21,64,100,31,64,44,73,4,98,51,2,45,83,8,77,95,7,64,92,3,58,98,50,67,55,35,71,30,78,92,78,67,23,99,54,29,51,58,4,54,54,58,27,58,50,65,5,38,80,59,1,93,52,89,66,91,9,44,18,45,18,96,57,37,86,69,39,99,43,22,91,41,2,55,22,36,42,74,30,18,73,4,30,98,87,34,79,82,1,40,89,46,4,84,90,37,53,64,75,100,71,63,10,12,7,83,4,57,14,81,20,17,72
36,72,8,13,0,61,55,32,71,86,72,88,27,34,29,56,20,23,67,80,33,41,37,2,71,81,18,69,100,5,16,73,52,50,7,37,5,42,28,96,86,26,12,57,13,30,63,62,43,78,34,81,60,100,73,82,53,97,16,86,14,68,0,93,99,52,0,36,13,33,22,14,58,60,0,32,75,49,72,34,94,61,35,7,67,2,94,70,22,89,89,37,40,19,76,75,100,11,32,94,93,82,51,82,97,4,6,41,59,25,15,95,19,2,57,50,77,42,44,0,98,92,78,54,14,85,27,86,64,20,49,60,36,49,69,60,54,10,47,17,57,76,65,22,20,66,33,5,52,16,40,22,35,11,65,95,26,22,27,52,86,99,68,15,11,9,23,5,48,56,56,16,46,58,11,6,18,44,98,58,56,39,1,83,16,67,52,92,23,54,20,92,3,87,15,25,40,83,13,72
25,15,20,62,39,0,47,56,36,8,17,74,50,46,79,70,2,58,58,64,59,99,69,98,2,10,89,43,36,95,26,73,32,43,4,19,92,68,90,43,35,7,5,71,57,15,44,14,32,77,100,30,56,65,23,99,74,78,9,24,12,39,33,79,80,74,78,17,89,73,46,35,25,27,33,6,78,33,13,68,39,29,17,51,81,62,59,55,10,20,58,21,36,28,12,52,32,16,95,78,9,1,41,33,32,87,81,83,59,98,39,24,71,43,94,66,4,74,98,80,0,15,26,79,47,88,24,18,16,65,55,24,89,46,67,65,17,86,21,16,88,67,83,96,70,48,42,40,89,42,69,49,67,17,47,94,39,35,27,6,41,26,59,61,65,78,42,70,11,50,5,75,74,18,62,99,65,46,87,44,13,43,36,57,91,90,64,38,72,97,97,55,78,2,43,64,13,32,100,62
48,42,12,54,45,53,0,66,66,60,69,32,23,58,90,90,20,70,34,12,30,55,41,28,76,20,65,7,21,12,16,36,37,3,39,87,8,6,30,77,30,4,14,66,45,87,5,21,30,35,4,54,14,100,11,57,97,17,96,1,34,70,28,95,85,3,27,52,93,22,15,33,11,33,21,35,83,93,24,66,23,21,15,28,55,56,100,73,53,81,7,2,12,19,61,0,22,91,21,56,69,51,77,16,83,80,15,43,77,70,29,59,83,85,74,14,44,75,89,83,39,35,76,92,38,93,51,96,33,44,60,94,79,40,54,77,45,25,99,79,12,35,42,92,84,84,13,43,82,34,75,59,71,4,14,11,9,67,61,12,29,8,25,94,15,88,9,93,51,95,14,77,20,42,85,41,46,90,78,97,58,73,34,62,45,18,10,53,94,93,90,83,6,70,63,6,49,63,70,86
71,64,23,68,68,44,34,0,13,99,36,81,14,49,96,5,42,18,92,25,16,17,68,13,25,27,100,87,46,21,90,26,34,93,80,43,93,80,73,23,3,19,77,61,39,69,36,36,62,93,45,89,13,29,34,26,74,39,83,24,16,9,42,12,10,15,36,100,100,57,77,14,71,97,57,96,94,3,48,100,42,21,14,54,88,62,12,79,75,95,66,53,32,18,28,15,31,18,89,93,96,51,31,42,18,11,52,63,75,60,77,99,26,54,16,16,14,42,79,53,15,74,35,30,22,7,19,71,78,10,56,68,18,9,72,17,22,23,12,94,25,96,95,11,3,22,83,44,30,10,47,87,15,41,48,13,61,19,61,79,98,5,23,26,99,14,32,86,27,26,16,0,91,33,68,53,89,88,25,89,31,84,94,44,31,14,98,44,18,69,67,24,32,8,43,12,69,35,29,48
18,37,47,25,29,64,34,87,0,83,10,44,57,13,76,17,57,9,23,28,3,3,96,46,17,100,9,90,13,87,53,30,16,6,56,75,28,51,71,35,92,0,41,92,52,52,26,60,54,18,6,49,18,34,92,70,36,61,98,50,12,6,43,58,1,34,95,53,87,34,44,96,73,9,24,59,85,58,18,67,66,52,52,4,58,77,43,97,84,7,26,92,30,87,71,18,73,62,4,10,83,18,92,26,99,74,44,70,34,79,80,84,46,90,51,76,67,50,65,23,77,37,43,73,82,34,59,20,82,58,78,68,88,24,98,49,60,53,46,53,6,16,89,35,61,77,2,23,93,90,80,2,48,11,46,62,67,60,63,84,59,86,53,66,79,56,5,46,79,93,63,24,80,92,46,2,66,86,95,50,21,65,67,55,69,1,91,26,4,61,75,64,37,100,40,24,10,55,81,65
30,44,70,25,14,92,40,1,17,0,69,78,54,29,82,71,79,71,26,43,90,35,28,40,93,10,77,94,98,97,42,17,6,34,39,4,3,9,68,4,57,79,70,54,96,5,28,89,100,54,94,4,10,85,44,49,94,91,8,90,68,80,90,83,10,88,82,70,96,46,15,27,12,89,27,22,89,14,26,63,54,38,26,24,99,28,95,15,41,90,32,73,70,100,73,38,5,30,20,9,63,76,38,46,63,38,28,46,6,82,39,59,72,80,17,35,36,82,0,27,45,30,57,94,56,31,1,7,75,19,100,2,5,58,7,87,47,29,57,43,54,15,48,80,70,50,84,76,100,12,95,96,52,67,53,93,38,0,75,14,10,47,12,16,87,70,9,93,45,17,92,36,23,33,88,33,35,73,84,60,78,23,88,78,24,16,41,7,67,100,77,82,10,2,69,26,4,24,92,89
60,100,93,12,28,83,31,64,90,31,0,39,35,19,78,69,64,23,73,57,67,19,96,8,58,79,12,94,2,3,91,82,71,97,8,8,6,59,14,51,98,72,7,46,89,28,36,88,32,52,25,29,76,16,63,17,81,14,40,57,29,23,100,97,5,9,15,8,12,94,43,57,71,17,33,48,88,43,31,89,55,10,35,1,91,42,35,84,48,16,93,53,42,23,89,72,69,28,11,84,30,82,82,86,44,76,43,66,69,45,57,87,64,80,51,83,92,63,24,9,65,86,13,25,49,34,2,85,22,55,31,98,40,75,88,30,74,64,80,93,87,99,50,1,51,3,27,17,65,17,32,58,19,23,2,92,36,61,4,16,31,51,29,10,33,34,53,3,76,11,32,8,4,4,24,36,56,68,16,56,26,43,70,54,31,57,74,57,7,23,35,58,92,10,71,68,82,36,65,72
75,2,33,14,12,26,68,19,56,22,61,0,36,35,84,0,3,55,18,29,0,43,53,44,19,45,76,22,15,27,14,68,74,72,17,95,59,39,79,3,69,80,7,50,31,59,29,30,89,39,59,23,24,88,27,1,56,57,27,54,73,5,19,80,66,16,96,93,16,63,54,27,43,22,35,64,16,93,84,87,45,65,28,80,54,97,97,15,38,93,17,72,2,1,69,86,83,49,72,72,11,61,36,73,49,28,95,56,68,62,17,56,31,93,43,33,99,19,51,20,29,86,54,31,85,46,34,80,8,24,74,47,61,26,41,56,97,24,2,81,21,11,30,57,99,47,35,79,47,73,63,40,5,13,92,93,22,15,12,36,47,98,72,42,92,25,90,25,2,1,51,48,8,39,34,2,19,43,76,52,20,3,82,73,82,93,52,5,64,40,30,28,80,97,84,1,28,27,80,58
99,91,16,53,73,50,77,86,43,46,65,64,0,45,64,100,32,54,22,61,68,68,57,81,6,81,18,64,62,73,69,58,13,60,79,17,20,4,95,80,55,57,3,15,20,67,4,57,63,55,79,59,64,50,91,47,88,17,55,0,60,85,32,28,31,91,95,75,54,91,54,70,32,95,89,27,14,70,50,42,88,50,96,2,2,32,94,11,5,55,60,97,78,15,79,29,28,32,37,70,81,88,1,70,82,46,95,36,77,70,33,100,49,87,80,54,90,63,89,83,42,52,25,85,76,12,10,23,89,83,57,95,27,33,65,68,24,14,97,96,84,92,63,98,80,78,81,40,40,44,56,2,63,13,55,95,40,76,31,93,29,88,76,85,59,14,53,95,70,36,43,55,18,19,100,83,25,19,24,25,25,16,74,73,57,45,76,98,16,76,17,36,76,31,38,90,0,93,73,9
38,54,28,93,66,54,42,51,87,71,81,65,55,0,20,51,7,21,51,56,15,32,16,42,91,27,24,80,1,77,9,47,58,23,2,53,79,55,65,92,17,70,59,11,59,15,25,84,98,7,72,14,41,36,0,55,52,65,78,13,10,2,88,97,60,64,87,2,42,41,5,93,26,13,11,23,68,62,10,75,26,65,49,76,46,5,96,18,11,25,100,95,14,42,65,14,77,1,44,12,85,69,24,51,77,81,54,87,99,37,22,23,63,15,81,92,76,44,44,62,18,37,23,21,5,10,83,95,10,83,24,98,34,67,49,35,41,81,9,68,64,51,67,46,4,73,6,55,27,1,40,36,21,100,85,52,16,13,25,60,85,81,15,65,90,48,55,33,13,29,35,51,75,48,2,63,45,98,40,43,79,70,42,39,89,20,88,26,55,23,18,20,97,84,76,22,21,47,97,79
76,70,76,97,71,21,10,4,24,18,22,16,36,80,0,28,82,82,53,93,21,82,65,74,64,4,22,78,34,91,52,91,28,93,46,73,5,34,2,25,84,39,93,75,70,12,56,10,46,41,29,59,17,30,40,28,34,23,28,65,67,41,55,14,22,4,93,70,86,10,19,70,97,21,49,69,11,19,48,31,16,70,91,82,86,0,56,5,63,69,37,33,45,88,51,26,57,25,74,78,76,88,6,40,58,3,49,71,83,38,4,13,68,26,76,42,95,35,74,22,90,52,27,46,10,42,54,43,86,7,83,29,32,37,70,1,70,4,55,49,81,19,8,47,70,60,58,72,27,20,47,86,31,73,59,44,61,94,94,7,2,77,36,45,5,68,31,19,23,6,22,37,32,68,99,61,96,3,30,44,69,68,35,27,71,11,61,27,26,44,38,53,5,17,62,63,55,84,80,37
76,69,33,62,44,30,10,95,83,29,31,100,0,49,72,0,21,91,58,56,83,44,81,85,76,99,6,37,54,43,43,2,55,99,37,17,45,73,74,83,48,17,26,78,39,17,69,40,52,41,55,70,76,43,80,26,60,2,15,17,19,67,9,12,67,21,73,71,1,48,97,2,100,18,88,98,89,84,51,16,68,49,21,71,12,21,74,36,2,22,84,89,55,96,31,76,98,29,7,94,21,20,99,62,28,75,42,57,3,40,79,63,96,91,32,94,77,50,53,5,100,42,94,1,1,77,6,15,66,74,20,62,92,75,19,0,44,74,67,15,88,96,65,40,42,72,91,63,38,34,62,48,24,27,65,37,25,17,40,58,19,7,7,60,37,68,49,81,78,33,44,33,51,39,73,67,66,71,25,8,74,82,7,2,78,17,47,53,84,12,80,21,90,15,100,31,44,3,76,0
40,21,26,49,80,98,80,58,43,21,36,97,68,93,18,79,0,30,78,61,54,29,95,1,68,88,2,79,82,82,14,58,82,13,1,67,73,63,96,64,62,11,46,56,94,27,37,47,28,6,67,84,10,28,49,26,4,2,17,97,78,32,68,25,21,21,96,98,51,94,49,71,67,46,95,8,97,43,10,8,21,10,88,29,91,81,92,26,4,47,43,7,99,21,60,89,61,32,20,29,92,90,47,41,21,77,22,80,88,3,84,52,10,86,58,60,99,25,98,48,62,33,71,99,20,22,86,27,41,95,64,89,97,69,37,24,6,56,54,71,26,68,7,49,97,6,64,45,88,71,32,79,57,86,1,26,17,43,63,42,45,23,49,26,76,83,100,25,48,61,97,34,44,95,96,59,67,80,15,19,1,98,99,9,62,63,56,22,28,5,64,15,0,99,11,5,17,73,87,23
59,60,66,87,77,42,30,82,91,29,77,45,46,79,18,9,70,0,69,13,98,99,33,2,54,100,59,52,100,57,74,66,89,73,43,32,15,66,43,34,85,96,41,54,43,48,84,40,7,74,50,32,85,77,78,59,20,8,98,98,35,54,58,51,18,51,41,52,59,54,57,77,87,51,4,84,26,88,75,46,91,3,0,84,45,97,77,92,16,36,43,85,100,35,91,86,4,57,80,62,36,61,97,56,21,6,73,31,40,91,89,9,58,41,61,96,89,93,1,40,3,36,22,78,3,84,27,85,63,71,93,15,99,28,33,16,61,41,27,10,97,69,53,29,20,56,6,27,84,56,51,7,92,53,56,48,100,15,0,89,90,5,84,36,6,44,17,11,71,8,46,34,84,3,68,89,17,44,54,57,17,63,11,65,40,7,17,93,68,9,93,41,80,44,0,88,52,70,15,1
